trial_number	correct	fast_or_slow	fix_duration	isi_duration	left_or_right	keypressed	RT	fixation_time	go_time	target_duration	response_time	trial_length	pd_parser_sample
68	1	fast	0.3	0.3	right	79	0.39698	0.3649	0.93487	0.86014	1.3138	5.2864	n/a
69	1	fast	0.7	0.5	right	79	0.46081	0.36389	1.5356	0.86014	1.9761	5.8849	n/a
70	0	fast	0.4	0.3	left	80	0.45834	0.3652	1.0347	0.86014	1.4748	5.3864	n/a
71	1	slow	0.7	0.7	right	79	2.0203	0.42973	1.7329	2.2937	3.7352	7.5164	n/a
72	0	slow	0.3	0.4	left	80	0.37749	0.3158	1.037	2.2937	1.395	6.8193	1312639
73	1	slow	0.4	0.3	right	79	0.43495	0.31627	1.038	2.2937	1.4534	6.8202	1319459
74	0	slow	0.4	0.3	left	80	0.50837	0.31632	1.0381	2.2937	1.5268	6.8206	1326280
75	0	slow	0.4	0.4	left	80	0.57342	0.33182	1.1351	2.2937	1.6914	6.9199	1333116
76	0	slow	0.4	0.6	right	80	0.32922	0.33179	1.3367	2.2937	1.6467	7.1192	1340037
77	1	slow	0.3	0.6	right	79	0.50834	0.33301	1.2384	2.2937	1.7268	7.02	1347157
78	1	slow	0.5	0.7	right	79	0.41597	0.33302	1.5378	2.2937	1.9342	7.3256	1354177
79	1	slow	0.6	0.3	right	79	0.50734	0.32792	1.2323	2.2937	1.7196	7.0139	n/a
80	0	slow	0.7	0.7	left	80	0.49852	0.33326	1.7384	2.2937	2.218	7.5211	1368518
81	1	slow	0.3	0.5	right	79	0.38824	0.33295	1.1386	2.2937	1.5073	6.9209	1376038
